iplantitem1,relation,iplantitem2
蒜味香科科,经济用途,中国药用植物
血见愁,经济用途,中国药用植物
唐松草属,经济用途,中国药用植物
尖叶唐松草,经济用途,中国药用植物
直梗高山唐松草,经济用途,中国药用植物
唐松草,经济用途,中国药用植物
狭序唐松草,经济用途,中国药用植物
偏翅唐松草,经济用途,中国药用植物
大叶唐松草,经济用途,中国药用植物
腺毛唐松草,经济用途,中国药用植物
多叶唐松草,经济用途,中国药用植物
金丝马尾连,经济用途,中国药用植物
盾叶唐松草,经济用途,中国药用植物
爪哇唐松草,经济用途,中国药用植物
小果唐松草,经济用途,中国药用植物
亚欧唐松草,经济用途,中国药用植物
东亚唐松草,经济用途,中国药用植物
峨眉唐松草,经济用途,中国药用植物
瓣蕊唐松草,经济用途,中国药用植物
长柄唐松草,经济用途,中国药用植物
多枝唐松草,经济用途,中国药用植物
美丽唐松草,经济用途,中国药用植物
网脉唐松草,经济用途,中国药用植物
短梗箭头唐松草,经济用途,中国药用植物
鞭柱唐松草,经济用途,中国药用植物
石砾唐松草,经济用途,中国药用植物
毛发唐松草,经济用途,中国药用植物
帚枝唐松草,经济用途,中国药用植物
霍州油菜,经济用途,中国药用植物
披针叶野决明,经济用途,中国药用植物
百蕊草（原变种）,经济用途,中国药用植物
异叶赤瓟,经济用途,中国药用植物
五叶赤瓟,经济用途,中国药用植物
短柄赤瓟,经济用途,中国药用植物
菥蓂,经济用途,中国药用植物
瑞香科,经济用途,中国药用植物
盾果草,经济用途,中国药用植物
黄水枝,经济用途,中国药用植物
波叶青牛胆,经济用途,中国药用植物
青牛胆,经济用途,中国药用植物
峨眉青牛胆,经济用途,中国药用植物
云南青牛胆,经济用途,中国药用植物
中华青牛胆,经济用途,中国药用植物
米念芭,经济用途,中国药用植物
青篱柴,经济用途,中国药用植物
香椿,经济用途,中国药用植物
鞘柄木属,经济用途,中国药用植物
有齿鞘柄木,经济用途,中国药用植物
小窃衣,经济用途,中国药用植物
野漆,经济用途,中国药用植物
漆,经济用途,中国药用植物
弓果藤,经济用途,中国药用植物
锈毛络石,经济用途,中国药用植物
络石,经济用途,中国药用植物
石血,经济用途,中国药用植物
棕榈,经济用途,中国药用植物
菱属,经济用途,中国药用植物
升麻族,经济用途,中国药用植物
黄连族,经济用途,中国药用植物
耧斗菜族,经济用途,中国药用植物
唐松草族,经济用途,中国药用植物
金莲花族,经济用途,中国药用植物
蒺藜,经济用途,中国药用植物
蛇瓜,经济用途,中国药用植物
瓜叶栝楼,经济用途,中国药用植物
井冈栝楼,经济用途,中国药用植物
中华栝楼,经济用途,中国药用植物
多卷须栝楼,经济用途,中国药用植物
白车轴草,经济用途,中国药用植物
胡卢巴,经济用途,中国药用植物
瘤果附地菜,经济用途,中国药用植物
附地菜,经济用途,中国药用植物
大花双参,经济用途,中国药用植物
刺蒴麻,经济用途,中国药用植物
金莲花属,经济用途,中国药用植物
宽瓣金莲花,经济用途,中国药用植物
川陕金莲花,经济用途,中国药用植物
金莲花,经济用途,中国药用植物
矮金莲花,经济用途,中国药用植物
短瓣金莲花,经济用途,中国药用植物
毛茛状金莲花,经济用途,中国药用植物
郁金香属,经济用途,中国药用植物
老鸦瓣,经济用途,中国药用植物
多蕊木,经济用途,中国药用植物
款冬,经济用途,中国药用植物
老虎须,经济用途,中国药用植物
三分丹,经济用途,中国药用植物
七层楼,经济用途,中国药用植物
人参娃儿藤,经济用途,中国药用植物
通天连,经济用途,中国药用植物
通脉丹,经济用途,中国药用植物
娃儿藤,经济用途,中国药用植物
扒地蜈蚣,经济用途,中国药用植物
蛇胆草,经济用途,中国药用植物
圆叶娃儿藤,经济用途,中国药用植物
云南娃儿藤,经济用途,中国药用植物
水烛,经济用途,中国药用植物
宽叶香蒲,经济用途,中国药用植物
无苞香蒲,经济用途,中国药用植物
香蒲,经济用途,中国药用植物
普香蒲,经济用途,中国药用植物
香蒲科,经济用途,中国药用植物
白脉犁头尖,经济用途,中国药用植物
犁头尖,经济用途,中国药用植物
鞭檐犁头尖,经济用途,中国药用植物
独角莲,经济用途,中国药用植物
金慈姑,经济用途,中国药用植物
三叶犁头尖,经济用途,中国药用植物
马蹄犁头尖,经济用途,中国药用植物
榆科,经济用途,中国药用植物
榆属,经济用途,中国药用植物
醉翁榆,经济用途,中国药用植物
大果榆,经济用途,中国药用植物
榔榆,经济用途,中国药用植物
榆树,经济用途,中国药用植物
越南榆,经济用途,中国药用植物
伞形科,经济用途,中国药用植物
钩藤属,经济用途,中国药用植物
大叶钩藤,经济用途,中国药用植物
钩藤,经济用途,中国药用植物
云南钩藤,经济用途,中国药用植物
猫尾草,经济用途,中国药用植物
狸尾豆,经济用途,中国药用植物
美花狸尾豆,经济用途,中国药用植物
地桃花,经济用途,中国药用植物
尾囊草属,经济用途,中国药用植物
尾囊草,经济用途,中国药用植物
荨麻属,经济用途,中国药用植物
狭叶荨麻,经济用途,中国药用植物
麻叶荨麻,经济用途,中国药用植物
荨麻,经济用途,中国药用植物
宽叶荨麻（原亚种）,经济用途,中国药用植物
三角叶荨麻,经济用途,中国药用植物
羽裂荨麻,经济用途,中国药用植物
紫玉盘,经济用途,中国药用植物
扣匹,经济用途,中国药用植物
麦蓝菜,经济用途,中国药用植物
越桔属,经济用途,中国药用植物
樟叶越桔,经济用途,中国药用植物
乌鸦果,经济用途,中国药用植物
越桔,经济用途,中国药用植物
缬草属,经济用途,中国药用植物
鞭枝缬草,经济用途,中国药用植物
蜘蛛香,经济用途,中国药用植物
缬草,经济用途,中国药用植物
败酱科,经济用途,中国药用植物
大纽子花,经济用途,中国药用植物
漏斗瓶蕨,经济用途,中国药用植物
翼核果,经济用途,中国药用植物
黄秦艽,经济用途,中国药用植物
藜芦属,经济用途,中国药用植物
蒙自藜芦,经济用途,中国药用植物
狭叶藜芦,经济用途,中国药用植物
大理藜芦,经济用途,中国药用植物
马鞭草,经济用途,中国药用植物
马鞭草科,经济用途,中国药用植物
驱虫斑鸠菊,经济用途,中国药用植物
广西斑鸠菊,经济用途,中国药用植物
夜香牛,经济用途,中国药用植物
毒根斑鸠菊,经济用途,中国药用植物
斑鸠菊,经济用途,中国药用植物
展枝斑鸠菊,经济用途,中国药用植物
滇缅斑鸠菊,经济用途,中国药用植物
咸虾花,经济用途,中国药用植物
柳叶斑鸠菊,经济用途,中国药用植物
茄叶斑鸠菊,经济用途,中国药用植物
刺苞斑鸠菊,经济用途,中国药用植物
长果婆婆纳拉萨亚种,经济用途,中国药用植物
水蔓菁,经济用途,中国药用植物
蚊母草,经济用途,中国药用植物
爬岩红,经济用途,中国药用植物
四方麻,经济用途,中国药用植物
毛叶腹水草,经济用途,中国药用植物
铁钓竿,经济用途,中国药用植物
水红木,经济用途,中国药用植物
珊瑚树（原变种）,经济用途,中国药用植物
亚高山荚蒾,经济用途,中国药用植物
西藏凹乳芹,经济用途,中国药用植物
山野豌豆,经济用途,中国药用植物
黑龙江野豌豆,经济用途,中国药用植物
蚕豆,经济用途,中国药用植物
小巢菜,经济用途,中国药用植物
确山野豌豆,经济用途,中国药用植物
牯岭野豌豆,经济用途,中国药用植物
大叶野豌豆,经济用途,中国药用植物
救荒野豌豆,经济用途,中国药用植物
野豌豆,经济用途,中国药用植物
四籽野豌豆,经济用途,中国药用植物
歪头菜,经济用途,中国药用植物
绿豆,经济用途,中国药用植物
赤小豆,经济用途,中国药用植物
野豇豆,经济用途,中国药用植物
堇菜属,经济用途,中国药用植物
鸡腿堇菜,经济用途,中国药用植物
毛花鸡腿堇菜,经济用途,中国药用植物
戟叶堇菜,经济用途,中国药用植物
阿坝堇菜,经济用途,中国药用植物
双花堇菜,经济用途,中国药用植物
球果堇菜,经济用途,中国药用植物
灰叶堇菜,经济用途,中国药用植物
七星莲,经济用途,中国药用植物
短须毛七星莲,经济用途,中国药用植物
紫花堇菜,经济用途,中国药用植物
长萼堇菜,经济用途,中国药用植物
东北堇菜,经济用途,中国药用植物
荁,经济用途,中国药用植物
白花地丁,经济用途,中国药用植物
紫花地丁,经济用途,中国药用植物
早开堇菜（原变种）,经济用途,中国药用植物
圆叶小堇菜,经济用途,中国药用植物
堇菜,经济用途,中国药用植物
槲寄生属,经济用途,中国药用植物
槲寄生,经济用途,中国药用植物
枫香槲寄生,经济用途,中国药用植物
绿茎槲寄生,经济用途,中国药用植物
瘤果槲寄生,经济用途,中国药用植物
灰毛牡荆,经济用途,中国药用植物
黄荆,经济用途,中国药用植物
牡荆,经济用途,中国药用植物
荆条,经济用途,中国药用植物
长序荆,经济用途,中国药用植物
微毛布惊,经济用途,中国药用植物
蔓荆,经济用途,中国药用植物
单叶蔓荆,经济用途,中国药用植物
葡萄属,经济用途,中国药用植物
小果葡萄,经济用途,中国药用植物
刺葡萄,经济用途,中国药用植物
葛藟葡萄,经济用途,中国药用植物
蓝花参,经济用途,中国药用植物
西藏扁芒菊,经济用途,中国药用植物
水锦树,经济用途,中国药用植物
河朔荛花,经济用途,中国药用植物
了哥王,经济用途,中国药用植物
小黄构,经济用途,中国药用植物
细轴荛花,经济用途,中国药用植物
虾子花,经济用途,中国药用植物
蓝树,经济用途,中国药用植物
倒吊笔,经济用途,中国药用植物
苍耳,经济用途,中国药用植物
柞木,经济用途,中国药用植物
碱黄鹌菜,经济用途,中国药用植物
毛刺花椒,经济用途,中国药用植物
椿叶花椒（原变种）,经济用途,中国药用植物
竹叶花椒（原变种）,经济用途,中国药用植物
岭南花椒（原变种）,经济用途,中国药用植物
砚壳花椒（原变种）,经济用途,中国药用植物
刺壳花椒〔原变种）,经济用途,中国药用植物
拟砚壳花椒,经济用途,中国药用植物
大叶臭花椒,经济用途,中国药用植物
异叶花椒（原变种）,经济用途,中国药用植物
马[瓜@交]儿,经济用途,中国药用植物
榉树,经济用途,中国药用植物
珊瑚姜,经济用途,中国药用植物
蘘荷,经济用途,中国药用植物
姜,经济用途,中国药用植物
红球姜,经济用途,中国药用植物
姜科,经济用途,中国药用植物
枣,经济用途,中国药用植物
酸枣,经济用途,中国药用植物
滇刺枣,经济用途,中国药用植物
丁癸草,经济用途,中国药用植物
咖啡黄葵,经济用途,中国有毒植物
毛相思子,经济用途,中国有毒植物
相思子,经济用途,中国有毒植物
美丽相思子,经济用途,中国有毒植物
醉马草,经济用途,中国有毒植物
乌头属,经济用途,中国有毒植物
展毛短柄乌头,经济用途,中国有毒植物
黄花乌头,经济用途,中国有毒植物
短梗墨脱乌头,经济用途,中国有毒植物
伏毛铁棒锤,经济用途,中国有毒植物
露蕊乌头,经济用途,中国有毒植物
北乌头,经济用途,中国有毒植物
长裂乌头,经济用途,中国有毒植物
保山乌头,经济用途,中国有毒植物
丝穗金粟兰,经济用途,中国有毒植物
宽叶金粟兰,经济用途,中国有毒植物
全缘金粟兰,经济用途,中国有毒植物
银线草,经济用途,中国有毒植物
多穗金粟兰,经济用途,中国有毒植物
及已,经济用途,中国有毒植物
金粟兰,经济用途,中国有毒植物
小花吊兰,经济用途,中国有毒植物
毒芹,经济用途,中国有毒植物
铁线莲,经济用途,中国有毒植物
苦郎树,经济用途,中国有毒植物
蝶豆,经济用途,中国有毒植物
野芋,经济用途,中国有毒植物
毒参,经济用途,中国有毒植物
马桑,经济用途,中国有毒植物
钝叶黑面神,经济用途,中国有毒植物
银鳞茅,经济用途,中国有毒植物
米面蓊,经济用途,中国有毒植物
醉鱼草,经济用途,中国有毒植物
牛角瓜,经济用途,中国有毒植物
白花牛角瓜,经济用途,中国有毒植物
驴蹄草,经济用途,中国有毒植物
三角叶驴蹄草,经济用途,中国有毒植物
大麻,经济用途,中国有毒植物
印度大麻,经济用途,中国有毒植物
独行千里,经济用途,中国有毒植物
野槟榔,经济用途,中国有毒植物
苦子马槟榔,经济用途,中国有毒植物
望江南,经济用途,中国有毒植物
白屈菜,经济用途,中国有毒植物
迭裂黄堇,经济用途,中国有毒植物
贝叶棕,经济用途,中国有毒植物
云南金叶子,经济用途,中国有毒植物
雄黄兰,经济用途,中国有毒植物
白番红花,经济用途,中国有毒植物
巴豆,经济用途,中国有毒植物
白叶藤,经济用途,中国有毒植物
苏铁,经济用途,中国有毒植物
铁藤,经济用途,中国有毒植物
豹药藤,经济用途,中国有毒植物
丽江牛皮消,经济用途,中国有毒植物
青羊参,经济用途,中国有毒植物
茶条木,经济用途,中国有毒植物
凤凰木,经济用途,中国有毒植物
翠雀,经济用途,中国有毒植物
碟环慈,经济用途,中国有毒植物
锡金龙竹,经济用途,中国有毒植物
山菅,经济用途,中国有毒植物
龙荔,经济用途,中国有毒植物
马肠薯蓣,经济用途,中国有毒植物
山柿,经济用途,中国有毒植物
罗浮柿,经济用途,中国有毒植物
毒瓜,经济用途,中国有毒植物
假奓包叶,经济用途,中国有毒植物
盾叶茅膏菜,经济用途,中国有毒植物
茅膏菜,经济用途,中国有毒植物
贵州八角莲,经济用途,中国有毒植物
六角莲,经济用途,中国有毒植物
黄杞,经济用途,中国有毒植物
侧金盏花,经济用途,中国有毒植物
合萌,经济用途,中国有毒植物
麦仙翁,经济用途,中国有毒植物
软枝黄蝉,经济用途,中国有毒植物
黄蝉,经济用途,中国有毒植物
尖尾芋,经济用途,中国有毒植物
海芋,经济用途,中国有毒植物
鸡骨常山,经济用途,中国有毒植物
链珠藤,经济用途,中国有毒植物
细子龙,经济用途,中国有毒植物
磨芋,经济用途,中国有毒植物
三分三,经济用途,中国有毒植物
见血封喉,经济用途,中国有毒植物
北极果,经济用途,中国有毒植物
象头花,经济用途,中国有毒植物
榼藤,经济用途,中国有毒植物
血水草,经济用途,中国有毒植物
海南狗牙花,经济用途,中国有毒植物
翅果刺桐,经济用途,中国有毒植物
多须公,经济用途,中国有毒植物
破坏草,经济用途,中国有毒植物
狼毒,经济用途,中国有毒植物
湖北大戟,经济用途,中国有毒植物
甘遂,经济用途,中国有毒植物
续随子,经济用途,中国有毒植物
金刚纂,经济用途,中国有毒植物
大戟,经济用途,中国有毒植物
钩腺大戟,经济用途,中国有毒植物
准噶尔大戟,经济用途,中国有毒植物
三桠苦,经济用途,中国有毒植物
大八角,经济用途,中国有毒植物
闽皖八角,经济用途,中国有毒植物
野八角,经济用途,中国有毒植物
厚皮香八角,经济用途,中国有毒植物
八角,经济用途,中国有毒植物
滇水金凤,经济用途,中国有毒植物
山慈菇,经济用途,中国有毒植物
伽蓝菜,经济用途,中国有毒植物
红大戟,经济用途,中国有毒植物
毒豆,经济用途,中国有毒植物
南紫薇,经济用途,中国有毒植物
艾麻属,经济用途,中国有毒植物
西南山梗菜,经济用途,中国有毒植物
山梗菜,经济用途,中国有毒植物
小白撑,经济用途,中国有毒植物
无距小白撑,经济用途,中国有毒植物
德钦乌头,经济用途,中国有毒植物
铁棒锤,经济用途,中国有毒植物
岩乌头,经济用途,中国有毒植物
伏毛直序乌头,经济用途,中国有毒植物
聚叶花葶乌头,经济用途,中国有毒植物
狭盔高乌头,经济用途,中国有毒植物
准噶尔乌头,经济用途,中国有毒植物
亚东乌头,经济用途,中国有毒植物
松潘乌头,经济用途,中国有毒植物
太白乌头,经济用途,中国有毒植物
直缘乌头,经济用途,中国有毒植物
黄草乌,经济用途,中国有毒植物
深裂黄草乌,经济用途,中国有毒植物
南天竹,经济用途,中国有毒植物
水仙,经济用途,中国有毒植物
夹竹桃,经济用途,中国有毒植物
欧洲夹竹桃,经济用途,中国有毒植物
野雉尾金粉蕨,经济用途,中国有毒植物
臭常山,经济用途,中国有毒植物
瓦松,经济用途,中国有毒植物
急弯棘豆,经济用途,中国有毒植物
小花棘豆,经济用途,中国有毒植物
微柔毛棘豆,经济用途,中国有毒植物
毛瓣棘豆,经济用途,中国有毒植物
鳞萼棘豆,经济用途,中国有毒植物
马甲子,经济用途,中国有毒植物
广西檀栗,经济用途,中国有毒植物
驼驼蒿,经济用途,中国有毒植物
天南星,经济用途,中国有毒植物
花南星,经济用途,中国有毒植物
绥阳雪里见,经济用途,中国有毒植物
北马兜铃,经济用途,中国有毒植物
马兜铃,经济用途,中国有毒植物
通城虎,经济用途,中国有毒植物
广西马兜铃,经济用途,中国有毒植物
背蛇生,经济用途,中国有毒植物
中亚苦蒿,经济用途,中国有毒植物
马利筋,经济用途,中国有毒植物
变异黄耆,经济用途,中国有毒植物
断肠花,经济用途,中国有毒植物
秦岭小檗,经济用途,中国有毒植物
柏拉木,经济用途,中国有毒植物
石椒草,经济用途,中国有毒植物
毛菍,经济用途,中国有毒植物
楝,经济用途,中国有毒植物
川楝,经济用途,中国有毒植物
臭草属,经济用途,中国有毒植物
抱草,经济用途,中国有毒植物
滇桂崖豆藤,经济用途,中国有毒植物
绿花崖豆藤,经济用途,中国有毒植物
宽序崖豆藤,经济用途,中国有毒植物
闹鱼崖豆,经济用途,中国有毒植物
皱果崖豆藤,经济用途,中国有毒植物
无刺含羞草,经济用途,中国有毒植物
白花油麻藤,经济用途,中国有毒植物
黧豆,经济用途,中国有毒植物
红蕉,经济用途,中国有毒植物
岛山芭蕉,经济用途,中国有毒植物
马钱科,经济用途,中国有毒植物
羽扇豆属,经济用途,中国有毒植物
埃及羽扇豆,经济用途,中国有毒植物
墨西哥羽扇豆,经济用途,中国有毒植物
大叶羽扇豆,经济用途,中国有毒植物
南美羽扇豆,经济用途,中国有毒植物
倭羽扇豆,经济用途,中国有毒植物
仪花,经济用途,中国有毒植物
三叶香草,经济用途,中国有毒植物
博落回,经济用途,中国有毒植物
小果博落回,经济用途,中国有毒植物
荷花玉兰,经济用途,中国有毒植物
粗糠柴,经济用途,中国有毒植物
大白药,经济用途,中国有毒植物
百灵草,经济用途,中国有毒植物
鸡尾木,经济用途,中国有毒植物
钩吻,经济用途,中国有毒植物
银杏,经济用途,中国有毒植物
蝎子草属,经济用途,中国有毒植物
嘉兰,经济用途,中国有毒植物
匙羹藤,经济用途,中国有毒植物
痄腮树,经济用途,中国有毒植物
萱草属,经济用途,中国有毒植物
绒毛草,经济用途,中国有毒植物
玉簪,经济用途,中国有毒植物
小金梅草,经济用途,中国有毒植物
台湾八角,经济用途,中国有毒植物
红茴香,经济用途,中国有毒植物
红毒茴,经济用途,中国有毒植物
大花八角,经济用途,中国有毒植物
黑龙骨,经济用途,中国有毒植物
杠柳,经济用途,中国有毒植物
串铃草,经济用途,中国有毒植物
叶下珠,经济用途,中国有毒植物
商陆,经济用途,中国有毒植物
马醉木,经济用途,中国有毒植物
波缘冷水花,经济用途,中国有毒植物
三角形冷水花,经济用途,中国有毒植物
滴水珠,经济用途,中国有毒植物
石蜘蛛,经济用途,中国有毒植物
虎掌,经济用途,中国有毒植物
半夏,经济用途,中国有毒植物
黄花木属,经济用途,中国有毒植物
亮叶猴耳环,经济用途,中国有毒植物
金铁锁,经济用途,中国有毒植物
匙叶翼首花,经济用途,中国有毒植物
蒙古白头翁,经济用途,中国有毒植物
除虫菊,经济用途,中国有毒植物
毛茛科,经济用途,中国有毒植物
毛茛,经济用途,中国有毒植物
石龙芮,经济用途,中国有毒植物
催吐萝芙木,经济用途,中国有毒植物
岩芋,经济用途,中国有毒植物
长叶冻绿,经济用途,中国有毒植物
狮子尾,经济用途,中国有毒植物
照山白,经济用途,中国有毒植物
羊踯躅,经济用途,中国有毒植物
齿果草,经济用途,中国有毒植物
川滇无患子,经济用途,中国有毒植物
无患子,经济用途,中国有毒植物
地不容,经济用途,中国有毒植物
马莲鞍,经济用途,中国有毒植物
羊角拗,经济用途,中国有毒植物
旋花羊角拗,经济用途,中国有毒植物
箭毒羊角拗,经济用途,中国有毒植物
西非羊角拗,经济用途,中国有毒植物
牛眼马钱,经济用途,中国有毒植物
吕宋果,经济用途,中国有毒植物
伞花马钱,经济用途,中国有毒植物
长籽马钱,经济用途,中国有毒植物
臭菘,经济用途,中国有毒植物
箭根薯,经济用途,中国有毒植物
广寄生,经济用途,中国有毒植物
东北红豆杉,经济用途,中国有毒植物
毛瓣无患子,经济用途,中国有毒植物
卵心叶虎耳草,经济用途,中国有毒植物
虎耳草,经济用途,中国有毒植物
催吐鲫鱼藤,经济用途,中国有毒植物
常绿杜鹃组,经济用途,中国有毒植物
天葵,经济用途,中国有毒植物
蛔蒿,经济用途,中国有毒植物
田菁属,经济用途,中国有毒植物
海马齿,经济用途,中国有毒植物
豨莶,经济用途,中国有毒植物
茵芋,经济用途,中国有毒植物
牛茄子,经济用途,中国有毒植物
假烟叶树,经济用途,中国有毒植物
金钮扣,经济用途,中国有毒植物
繁缕,经济用途,中国有毒植物
野决明属,经济用途,中国有毒植物
披针叶野决明,经济用途,中国有毒植物
阔叶竹桃,经济用途,中国有毒植物
黄花夹竹桃,经济用途,中国有毒植物
络石,经济用途,中国有毒植物
石血,经济用途,中国有毒植物
刺果芹,经济用途,中国有毒植物
犁头尖,经济用途,中国有毒植物
伞形科,经济用途,中国有毒植物
蒙自藜芦,经济用途,中国有毒植物
狭叶藜芦,经济用途,中国有毒植物
大理藜芦,经济用途,中国有毒植物
毒根斑鸠菊,经济用途,中国有毒植物
日本珊瑚树,经济用途,中国有毒植物
大野豌豆,经济用途,中国有毒植物
救荒野豌豆,经济用途,中国有毒植物
山蟛蜞菊,经济用途,中国有毒植物
了哥王,经济用途,中国有毒植物
椿叶花椒（原变种）,经济用途,中国有毒植物
砚壳花椒（原变种）,经济用途,中国有毒植物
中亚草原蒿,经济用途,中国饲料(牧草\蜜源)植物
龙蒿,经济用途,中国饲料(牧草\蜜源)植物
冷蒿,经济用途,中国饲料(牧草\蜜源)植物
牡蒿,经济用途,中国饲料(牧草\蜜源)植物
野艾蒿,经济用途,中国饲料(牧草\蜜源)植物
大花蒿,经济用途,中国饲料(牧草\蜜源)植物
中亚旱蒿,经济用途,中国饲料(牧草\蜜源)植物
绢毛旱蒿,经济用途,中国饲料(牧草\蜜源)植物
垫型蒿,经济用途,中国饲料(牧草\蜜源)植物
蒙古蒿,经济用途,中国饲料(牧草\蜜源)植物
钝裂蒿,经济用途,中国饲料(牧草\蜜源)植物
黑沙蒿,经济用途,中国饲料(牧草\蜜源)植物
光沙蒿,经济用途,中国饲料(牧草\蜜源)植物
黑蒿,经济用途,中国饲料(牧草\蜜源)植物
柔毛蒿,经济用途,中国饲料(牧草\蜜源)植物
白莲蒿,经济用途,中国饲料(牧草\蜜源)植物
灰莲蒿,经济用途,中国饲料(牧草\蜜源)植物
密毛白莲蒿,经济用途,中国饲料(牧草\蜜源)植物
大籽蒿,经济用途,中国饲料(牧草\蜜源)植物
圆头蒿,经济用途,中国饲料(牧草\蜜源)植物
裂叶蒿,经济用途,中国饲料(牧草\蜜源)植物
北艾,经济用途,中国饲料(牧草\蜜源)植物
内蒙古旱蒿,经济用途,中国饲料(牧草\蜜源)植物
野古草属,经济用途,中国饲料(牧草\蜜源)植物
野古草,经济用途,中国饲料(牧草\蜜源)植物
毛秆野古草,经济用途,中国饲料(牧草\蜜源)植物
西南野古草,经济用途,中国饲料(牧草\蜜源)植物
芦竹,经济用途,中国饲料(牧草\蜜源)植物
斜茎黄耆,经济用途,中国饲料(牧草\蜜源)植物
沙生冰草,经济用途,中国饲料(牧草\蜜源)植物
根茎冰草,经济用途,中国饲料(牧草\蜜源)植物
沙芦草,经济用途,中国饲料(牧草\蜜源)植物
羽衣草属,经济用途,中国饲料(牧草\蜜源)植物
山麻杆,经济用途,中国饲料(牧草\蜜源)植物
骆驼刺属,经济用途,中国饲料(牧草\蜜源)植物
莲子草属,经济用途,中国饲料(牧草\蜜源)植物
喜旱莲子草,经济用途,中国饲料(牧草\蜜源)植物
莲子草,经济用途,中国饲料(牧草\蜜源)植物
链荚豆,经济用途,中国饲料(牧草\蜜源)植物
尾穗苋,经济用途,中国饲料(牧草\蜜源)植物
凹头苋,经济用途,中国饲料(牧草\蜜源)植物
反枝苋,经济用途,中国饲料(牧草\蜜源)植物
皱果苋,经济用途,中国饲料(牧草\蜜源)植物
穿鞘花,经济用途,中国饲料(牧草\蜜源)植物
尖果穿鞘花,经济用途,中国饲料(牧草\蜜源)植物
水苋菜,经济用途,中国饲料(牧草\蜜源)植物
紫穗槐,经济用途,中国饲料(牧草\蜜源)植物
疣柄磨芋,经济用途,中国饲料(牧草\蜜源)植物
盐生假木贼,经济用途,中国饲料(牧草\蜜源)植物
漆树科,经济用途,中国饲料(牧草\蜜源)植物
腰果,经济用途,中国饲料(牧草\蜜源)植物
展毛银莲花,经济用途,中国饲料(牧草\蜜源)植物
当归属,经济用途,中国饲料(牧草\蜜源)植物
黑水当归,经济用途,中国饲料(牧草\蜜源)植物
疏叶当归,经济用途,中国饲料(牧草\蜜源)植物
刺果番荔枝,经济用途,中国饲料(牧草\蜜源)植物
牛心番荔枝,经济用途,中国饲料(牧草\蜜源)植物
糙叶树,经济用途,中国饲料(牧草\蜜源)植物
柔毛糙叶树,经济用途,中国饲料(牧草\蜜源)植物
银荆,经济用途,中国饲料(牧草\蜜源)植物
灰金合欢,经济用途,中国饲料(牧草\蜜源)植物
黑荆,经济用途,中国饲料(牧草\蜜源)植物
梣叶槭,经济用途,中国饲料(牧草\蜜源)植物
芨芨草,经济用途,中国饲料(牧草\蜜源)植物
尖稃草,经济用途,中国饲料(牧草\蜜源)植物
凤头黍,经济用途,中国饲料(牧草\蜜源)植物
猕猴桃属,经济用途,中国饲料(牧草\蜜源)植物
软枣猕猴桃（原变种）,经济用途,中国饲料(牧草\蜜源)植物
盒子草,经济用途,中国饲料(牧草\蜜源)植物
铁线蕨属,经济用途,中国饲料(牧草\蜜源)植物
水团花,经济用途,中国饲料(牧草\蜜源)植物
沙蓬,经济用途,中国饲料(牧草\蜜源)植物
冰草属,经济用途,中国饲料(牧草\蜜源)植物
冰草,经济用途,中国饲料(牧草\蜜源)植物
贴毛苎麻,经济用途,中国饲料(牧草\蜜源)植物
青叶苎麻,经济用途,中国饲料(牧草\蜜源)植物
悬铃叶苎麻,经济用途,中国饲料(牧草\蜜源)植物
白羊草,经济用途,中国饲料(牧草\蜜源)植物
芸苔属,经济用途,中国饲料(牧草\蜜源)植物
芥菜,经济用途,中国饲料(牧草\蜜源)植物
大头菜,经济用途,中国饲料(牧草\蜜源)植物
白菜,经济用途,中国饲料(牧草\蜜源)植物
芜青,经济用途,中国饲料(牧草\蜜源)植物
雀麦属,经济用途,中国饲料(牧草\蜜源)植物
无芒雀麦,经济用途,中国饲料(牧草\蜜源)植物
沙地雀麦,经济用途,中国饲料(牧草\蜜源)植物
尖齿雀麦,经济用途,中国饲料(牧草\蜜源)植物
密穗雀麦,经济用途,中国饲料(牧草\蜜源)植物
木麻黄,经济用途,中国饲料(牧草\蜜源)植物
青葙,经济用途,中国饲料(牧草\蜜源)植物
距瓣豆,经济用途,中国饲料(牧草\蜜源)植物
抗风桐,经济用途,中国饲料(牧草\蜜源)植物
肥牛树,经济用途,中国饲料(牧草\蜜源)植物
金鱼藻属,经济用途,中国饲料(牧草\蜜源)植物
金鱼藻,经济用途,中国饲料(牧草\蜜源)植物
海杧果,经济用途,中国饲料(牧草\蜜源)植物
藜,经济用途,中国饲料(牧草\蜜源)植物
虎尾草属,经济用途,中国饲料(牧草\蜜源)植物
虎尾草,经济用途,中国饲料(牧草\蜜源)植物
隐子草属,经济用途,中国饲料(牧草\蜜源)植物
丛生隐子草,经济用途,中国饲料(牧草\蜜源)植物
中华隐子草,经济用途,中国饲料(牧草\蜜源)植物
水蔗草,经济用途,中国饲料(牧草\蜜源)植物
罗布麻,经济用途,中国饲料(牧草\蜜源)植物
天南星科,经济用途,中国饲料(牧草\蜜源)植物
落花生,经济用途,中国饲料(牧草\蜜源)植物
桄榔,经济用途,中国饲料(牧草\蜜源)植物
山珠南星,经济用途,中国饲料(牧草\蜜源)植物
三芒草,经济用途,中国饲料(牧草\蜜源)植物
羽毛三芒草,经济用途,中国饲料(牧草\蜜源)植物
