iplantitem1,relation,iplantitem2
冬瓜,经济用途,中国食用(淀粉)植物
节瓜,经济用途,中国食用(淀粉)植物
可食小檗,经济用途,中国食用(淀粉)植物
秦岭米面蓊,经济用途,中国食用(淀粉)植物
米面蓊,经济用途,中国食用(淀粉)植物
密蒙花,经济用途,中国食用(淀粉)植物
橄榄科,经济用途,中国食用(淀粉)植物
牛油果,经济用途,中国食用(淀粉)植物
仙人掌科,经济用途,中国食用(淀粉)植物
月光花,经济用途,中国食用(淀粉)植物
红厚壳,经济用途,中国食用(淀粉)植物
山茶属,经济用途,中国食用(淀粉)植物
金钱豹,经济用途,中国食用(淀粉)植物
橄榄,经济用途,中国食用(淀粉)植物
方榄,经济用途,中国食用(淀粉)植物
乌榄,经济用途,中国食用(淀粉)植物
滇榄,经济用途,中国食用(淀粉)植物
直生刀豆,经济用途,中国食用(淀粉)植物
梅,经济用途,中国食用(淀粉)植物
野杏,经济用途,中国食用(淀粉)植物
辣根,经济用途,中国食用(淀粉)植物
银蒿,经济用途,中国食用(淀粉)植物
龙蒿,经济用途,中国食用(淀粉)植物
野艾蒿,经济用途,中国食用(淀粉)植物
大花蒿,经济用途,中国食用(淀粉)植物
圆头蒿,经济用途,中国食用(淀粉)植物
波罗蜜,经济用途,中国食用(淀粉)植物
面包树,经济用途,中国食用(淀粉)植物
光叶桂木,经济用途,中国食用(淀粉)植物
披针叶桂木,经济用途,中国食用(淀粉)植物
桂木,经济用途,中国食用(淀粉)植物
胭脂,经济用途,中国食用(淀粉)植物
石刁柏,经济用途,中国食用(淀粉)植物
寒竹属,经济用途,中国食用(淀粉)植物
小方竹,经济用途,中国食用(淀粉)植物
毛环方竹,经济用途,中国食用(淀粉)植物
乳纹方竹,经济用途,中国食用(淀粉)植物
墨脱方竹,经济用途,中国食用(淀粉)植物
刺黑竹,经济用途,中国食用(淀粉)植物
刺竹子,经济用途,中国食用(淀粉)植物
方竹,经济用途,中国食用(淀粉)植物
金佛山方竹,经济用途,中国食用(淀粉)植物
虎尾草,经济用途,中国食用(淀粉)植物
南酸枣,经济用途,中国食用(淀粉)植物
金叶树,经济用途,中国食用(淀粉)植物
鹰嘴豆,经济用途,中国食用(淀粉)植物
银叶桂,经济用途,中国食用(淀粉)植物
香桂,经济用途,中国食用(淀粉)植物
川桂,经济用途,中国食用(淀粉)植物
西瓜,经济用途,中国食用(淀粉)植物
来檬,经济用途,中国食用(淀粉)植物
细叶黄皮,经济用途,中国食用(淀粉)植物
假黄皮,经济用途,中国食用(淀粉)植物
蝴蝶果,经济用途,中国食用(淀粉)植物
藤山柳属,经济用途,中国食用(淀粉)植物
白花菜,经济用途,中国食用(淀粉)植物
广东大青,经济用途,中国食用(淀粉)植物
岩荠,经济用途,中国食用(淀粉)植物
椰子,经济用途,中国食用(淀粉)植物
薏米,经济用途,中国食用(淀粉)植物
芋属,经济用途,中国食用(淀粉)植物
芋,经济用途,中国食用(淀粉)植物
假芋,经济用途,中国食用(淀粉)植物
紫芋,经济用途,中国食用(淀粉)植物
菊科,经济用途,中国食用(淀粉)植物
旋花科,经济用途,中国食用(淀粉)植物
甜麻,经济用途,中国食用(淀粉)植物
黄麻,经济用途,中国食用(淀粉)植物
芫荽,经济用途,中国食用(淀粉)植物
山茱萸科,经济用途,中国食用(淀粉)植物
紫堇,经济用途,中国食用(淀粉)植物
华榛,经济用途,中国食用(淀粉)植物
刺榛,经济用途,中国食用(淀粉)植物
藏刺榛,经济用途,中国食用(淀粉)植物
榛,经济用途,中国食用(淀粉)植物
川榛,经济用途,中国食用(淀粉)植物
毛榛,经济用途,中国食用(淀粉)植物
贝叶棕,经济用途,中国食用(淀粉)植物
黄栌,经济用途,中国食用(淀粉)植物
红叶,经济用途,中国食用(淀粉)植物
野茼蒿,经济用途,中国食用(淀粉)植物
山楂属,经济用途,中国食用(淀粉)植物
野山楂,经济用途,中国食用(淀粉)植物
湖北山楂,经济用途,中国食用(淀粉)植物
毛山楂,经济用途,中国食用(淀粉)植物
云南山楂,经济用途,中国食用(淀粉)植物
树头菜,经济用途,中国食用(淀粉)植物
猪屎豆属,经济用途,中国食用(淀粉)植物
大托叶猪屎豆,经济用途,中国食用(淀粉)植物
十字花科,经济用途,中国食用(淀粉)植物
隐花草,经济用途,中国食用(淀粉)植物
隐棒花,经济用途,中国食用(淀粉)植物
马泡瓜,经济用途,中国食用(淀粉)植物
菜瓜,经济用途,中国食用(淀粉)植物
笋瓜,经济用途,中国食用(淀粉)植物
南瓜,经济用途,中国食用(淀粉)植物
西葫芦,经济用途,中国食用(淀粉)植物
柘属,经济用途,中国食用(淀粉)植物
拓树,经济用途,中国食用(淀粉)植物
孜然芹,经济用途,中国食用(淀粉)植物
郁金,经济用途,中国食用(淀粉)植物
姜黄,经济用途,中国食用(淀粉)植物
莪术,经济用途,中国食用(淀粉)植物
瓜儿豆属,经济用途,中国食用(淀粉)植物
苏铁属,经济用途,中国食用(淀粉)植物
苏铁,经济用途,中国食用(淀粉)植物
华南苏铁,经济用途,中国食用(淀粉)植物
云南苏铁,经济用途,中国食用(淀粉)植物
小雀瓜,经济用途,中国食用(淀粉)植物
青冈属,经济用途,中国食用(淀粉)植物
槟榔青冈,经济用途,中国食用(淀粉)植物
黄毛青冈,经济用途,中国食用(淀粉)植物
青冈,经济用途,中国食用(淀粉)植物
滇青冈,经济用途,中国食用(淀粉)植物
细叶青冈,经济用途,中国食用(淀粉)植物
雷公青冈,经济用途,中国食用(淀粉)植物
云山青冈,经济用途,中国食用(淀粉)植物
榅桲属,经济用途,中国食用(淀粉)植物
榅桲,经济用途,中国食用(淀粉)植物
柠檬草,经济用途,中国食用(淀粉)植物
曲序香茅,经济用途,中国食用(淀粉)植物
地梢瓜,经济用途,中国食用(淀粉)植物
雀瓢,经济用途,中国食用(淀粉)植物
变色白前,经济用途,中国食用(淀粉)植物
锁阳,经济用途,中国食用(淀粉)植物
胡萝卜,经济用途,中国食用(淀粉)植物
水麻属,经济用途,中国食用(淀粉)植物
水麻,经济用途,中国食用(淀粉)植物
猫儿屎,经济用途,中国食用(淀粉)植物
尖叶四照花,经济用途,中国食用(淀粉)植物
头状四照花,经济用途,中国食用(淀粉)植物
峨眉四照花,经济用途,中国食用(淀粉)植物
褐毛四照花,经济用途,中国食用(淀粉)植物
缙云四照花,经济用途,中国食用(淀粉)植物
香港四照花,经济用途,中国食用(淀粉)植物
四照花,经济用途,中国食用(淀粉)植物
苦绿竹,经济用途,中国食用(淀粉)植物
吊丝球竹,经济用途,中国食用(淀粉)植物
大头典竹,经济用途,中国食用(淀粉)植物
孟竹,经济用途,中国食用(淀粉)植物
大绿竹,经济用途,中国食用(淀粉)植物
乌脚绿,经济用途,中国食用(淀粉)植物
绿竹,经济用途,中国食用(淀粉)植物
黄麻竹,经济用途,中国食用(淀粉)植物
吊丝单,经济用途,中国食用(淀粉)植物
马来甜龙竹,经济用途,中国食用(淀粉)植物
大叶慈,经济用途,中国食用(淀粉)植物
龙竹,经济用途,中国食用(淀粉)植物
麻竹,经济用途,中国食用(淀粉)植物
野龙竹,经济用途,中国食用(淀粉)植物
西藏牡竹,经济用途,中国食用(淀粉)植物
播娘蒿,经济用途,中国食用(淀粉)植物
十字马唐,经济用途,中国食用(淀粉)植物
五桠果,经济用途,中国食用(淀粉)植物
龙荔,经济用途,中国食用(淀粉)植物
龙眼,经济用途,中国食用(淀粉)植物
钝叶龙眼,经济用途,中国食用(淀粉)植物
薯蓣属,经济用途,中国食用(淀粉)植物
参薯,经济用途,中国食用(淀粉)植物
甘薯,经济用途,中国食用(淀粉)植物
有刺甘薯,经济用途,中国食用(淀粉)植物
粘山药,经济用途,中国食用(淀粉)植物
日本薯蓣,经济用途,中国食用(淀粉)植物
薯蓣,经济用途,中国食用(淀粉)植物
毛胶薯蓣,经济用途,中国食用(淀粉)植物
短柄粉叶柿,经济用途,中国食用(淀粉)植物
柿,经济用途,中国食用(淀粉)植物
大花柿,经济用途,中国食用(淀粉)植物
野柿,经济用途,中国食用(淀粉)植物
君迁子,经济用途,中国食用(淀粉)植物
油柿,经济用途,中国食用(淀粉)植物
异色柿,经济用途,中国食用(淀粉)植物
保亭柿,经济用途,中国食用(淀粉)植物
云南金钱槭,经济用途,中国食用(淀粉)植物
栘[木衣]属,经济用途,中国食用(淀粉)植物
锡兰莓,经济用途,中国食用(淀粉)植物
人面子,经济用途,中国食用(淀粉)植物
南山藤,经济用途,中国食用(淀粉)植物
羊竹子,经济用途,中国食用(淀粉)植物
盾叶茅膏菜,经济用途,中国食用(淀粉)植物
茅膏菜,经济用途,中国食用(淀粉)植物
蛇莓属,经济用途,中国食用(淀粉)植物
榴莲,经济用途,中国食用(淀粉)植物
锈毛梭子果,经济用途,中国食用(淀粉)植物
梭子果,经济用途,中国食用(淀粉)植物
稗属,经济用途,中国食用(淀粉)植物
凤眼蓝,经济用途,中国食用(淀粉)植物
胡颓子属,经济用途,中国食用(淀粉)植物
沙枣,经济用途,中国食用(淀粉)植物
长叶胡颓子,经济用途,中国食用(淀粉)植物
