title,relation,value
罗伞树,功用,清热解毒
无根藤,功用,消肿
无根藤,功用,利尿
斜叶黄檀,功用,消肿止痛
裸茎金腰,功用,催吐
裸茎碎米荠,功用,清热解毒
紫荆,功用,清热解毒
紫荆,功用,消肿止痛
野菰,功用,清热解毒
野菰,功用,消肿
云南蕊木,功用,止痛
走马胎,功用,消肿止痛
满江红,功用,利尿
野香橼花,功用,消炎
毛艹杭子梢,功用,清热
线叶猪屎豆,功用,消肿止痛
棉团铁线莲,功用,利尿
滇刺枣,功用,消炎
明党参,功用,解毒
茉莉花,功用,止咳
紫玉兰,功用,消炎剂
黑叶小驳骨,功用,接骨
大果琉璃草,功用,清热解毒
金叶树,功用,消肿止痛
大花威灵仙,功用,利尿
大火草,功用,驱虫药
大叶苎麻,功用,消肿
幌伞枫,功用,利尿
大尾摇,功用,解毒
大叶千斤拔,功用,祛风
大叶碎米荠,功用,止痛
代儿茶,功用,止血
待宵草,功用,解热
狗牙花,功用,消肿
单叶铁线莲,功用,消炎
单叶铁线莲,功用,止痛
乌檀,功用,解毒
乌檀,功用,消肿止痛
当归藤,功用,接骨
皂荚,功用,消肿
土牛膝,功用,清热解毒
土牛膝,功用,利尿
野百合,功用,消肿止痛
山菠菜,功用,利尿
中华天胡荽,功用,清热
地肤,功用,利尿
地涌金莲,功用,止血
地榆,功用,止血
叠裂银莲花,功用,消炎
丁癸草,功用,解热
冬青,功用,镇痛
冬青,功用,消炎
杜虹花,功用,镇痛
多裂乌头,功用,镇痛
多裂乌头,功用,消肿
海边马兜铃,功用,解毒
海金沙,功用,解热
海桐花属,功用,消炎
红茴香,功用,祛风除湿
红茴香,功用,止痛
鸡蛋花,功用,解毒
红球姜,功用,解毒
红树科,功用,止血
厚壳树,功用,清热
厚壳树,功用,止痛
厚藤,功用,消肿
狐臭柴,功用,解毒
胡椒科,功用,镇痛
槲蕨,功用,止痛
华山姜,功用,止痛
滑叶藤,功用,祛风除湿
小黄构,功用,止咳
黄金凤,功用,止痛
黄细心,功用,催吐
圆锥铁线莲,功用,解毒
黄珠子草,功用,清热
贴生石韦,功用,清热解毒
条裂铁线蕨,功用,利尿
铁线莲,功用,利尿
铁线莲,功用,解毒
头花猪屎豆,功用,消肿
兔儿伞,功用,止痛
文殊兰,功用,消肿止痛
巫溪紫堇,功用,消炎
蛇含委陵菜,功用,止咳
三对节,功用,接骨
三叶崖爬藤,功用,解毒
伞房花耳草,功用,止痛
石蝉草,功用,止血
沙参,功用,止咳
沙针,功用,消肿止痛
山梗菜,功用,消肿
山梗菜,功用,催吐
四孔草,功用,消肿
紫花碎米荠,功用,清热
疏果石丁香,功用,接骨
疏叶香根芹,功用,止痛
细叶水团花,功用,清热解毒
四棱草属,功用,解毒
宿苞豆,功用,清热解毒
光宿苞豆,功用,清热解毒
粟米草,功用,清热解毒
酸藤子,功用,止痛
豨莶,功用,镇痛
掌叶铁线蕨,功用,止痛
掌叶铁线蕨,功用,止咳
柊叶,功用,利尿
苎麻,功用,止血剂
梓木草,功用,止痛
细叶沙参,功用,止咳
岩乌头,功用,止痛
野牡丹,功用,止血
野木瓜,功用,利尿
野木瓜属,功用,镇痛
余甘子,功用,解热
鱼眼草,功用,消炎
西南铁线莲,功用,利尿
细木通,功用,利尿
狭顶鳞毛蕨,功用,清热
响铃豆,功用,清热解毒
响铃豆,功用,消肿止痛
小八角莲,功用,镇痛
小蓑衣藤,功用,止痛
小叶黑面神,功用,消炎
小叶女贞,功用,清热解毒
小鱼眼草,功用,消炎
杏香兔儿风,功用,利尿
熊耳草,功用,消炎
叙永小檗,功用,清热解毒
