title,label
野芝麻族、野芝麻亚族,newNode
Dendrobium pseudotenellum,newNode
Dianthus acicularis,newNode
Carex onoei,newNode
Gentiana heleonastes,newNode
Phlox subulata L.,newNode
针叶雪灵芝（中国高等植物图鉴补编） 针叶蚤缀（拉汉种子植物名称）,newNode
Arenaria acicularis,newNode
Trichuriella monsoniae,newNode
Trichurus Townsend,newNode
针叶苋属Trichurus,newNode
Syringodium isoetifolium,newNode
丝粉藻科,newNode
眼子菜科在克朗奎斯特分类法中被分到茨藻目,newNode
在1998年的APG,newNode
Haplophyllum tragacanthoides,newNode
Justicia vagabunda,newNode
Rhaphidospora Nees.,newNode
Pernulo,newNode
雪柳、喷雪花、珍珠绣线菊,newNode
Spiraea thunbergii Sieb.,newNode
Lysimachia,newNode
主要分布于北半球温带和亚热带地区,newNode
Scolopia henryi,newNode
ChlorantusSpicatusMak,newNode
Lyonia Nutt.,newNode
Ficus sarmentosa var. henryi,newNode
Scleria Berg.,newNode
群生鹿蹄草,newNode
Pyrola sororia,newNode
Sorbaria (Ser.) A. Br. ex Aschers,newNode
山高粱条子，高楷子，八本条（东北土名）,newNode
Sorbaria sorbifolia (L.) A. Br.,newNode
Ardisia maculosa Mez,newNode
地构菜,newNode
Herba Speranskiae Tuberculatae,newNode
真双子叶植物,newNode
Pennisetum glaucum,newNode
珍珠花、喷雪花、补氏绣线菊,newNode
Spiraea thunbergii Bl.,newNode
珍珠柴  雀猪毛菜,newNode
Salsola passerina,newNode
藜亚目,newNode
楠树、雅楠、桢楠,newNode
Eustachys tenera,newNode
Corydalis capnoides,newNode
Eustachys Desv.,newNode
Corylus heterophylla Fisch.,newNode
Sinosenecio palmatilobus,newNode
Sida subcordata,newNode
Allium eusperma,newNode
Saxifraga culcitosa,newNode
山板栗、尖栗、棰子,newNode
Corylus heterophylla Fisch,newNode
榛亚科,newNode
Eurya tsingpienensis,newNode
Ficus drupacea,newNode
Ficus drupacea Thunb.,newNode
Onosma microstoma,newNode
Didymocarpus zhenkangensis,newNode
Cynanchum sublanceolatum,newNode
Coelogyne zhenkangensis,newNode
树兰族、贝母兰亚族,newNode
Cissus triloba,newNode
Polystichum oblongum,newNode
耳蕨族,newNode
Primula comata,newNode
Asplenium quercicola,newNode
Mucuna bodiniana,newNode
Carex zhenkangensis,newNode
薹草亚属、美穗薹草组,newNode
Brassaiopsis chengkangensis,newNode
Epimedium ilicifolium,newNode
Strobilanthes stenophylla,newNode
Cotoneaster chengkangensis,newNode
Euonymus wui,newNode
Ilex wuiana,newNode
褐皮金鸡纳、棕金鸡纳树,newNode
Cinchona officinalis,newNode
Ctenitis changanensis,newNode
Microlepia critica,newNode
Microlepia critica Ching,newNode
Hicriopteris critica,newNode
芝麻菜、臭菜、东北臭菜,newNode
Eruca sativ Mill.,newNode
大叶黄杨、冬青卫矛,newNode
Euonymus japonicus L.,newNode
黄杨亚科,newNode
Pedicularis sigmoidea,newNode
Eruca,newNode
Polystichum liui,newNode
