天胡荽,分布区域,陕西、江苏、安徽、浙江、江西、福建、湖南、湖北、广东、广西、台湾
天胡荽,分布区域,朝鲜、日本、东南亚至印度
破铜钱,分布区域,安徽、浙江、江西、湖南、湖北、台湾、福建、广东、广西、四川等省区
鹅耳枥属,分布区域,北温带及北亚热带地区
鹅耳枥属,分布区域,东北、华、北、西北、西南、华东、华中及华南
竹节树,产地,广东、广西及沿海岛屿
鹅耳枥,分布区域,辽宁南部、山西、河北、河南、山东、陕西、甘肃
乌头,分布区域,云南东部、四川、湖北、贵州、湖南、广西北部、广东北部、江西、浙江、江苏、安徽、陕西南部、河南南部、山东东部、辽宁南部
乌头,分布区域,海拔850至2150米
乌头,分布区域,在越南北部
黄山乌头,分布区域,江西东北部、浙江西北部、安徽南部（黄山）
展毛乌头,分布区域,浙江北部、江苏、山东、辽宁南部
毛叶乌头,产地,甘肃东南部、陕西西南部秦岭一带
深裂乌头,产地,江苏南京和句容一带
鹅观草属,分布区域,我国西北、华北、东北地区诸省
鹅黄灯台报春,分布区域,四川西部（木里、九龙、康定、乾宁、道孚等地）
鹅黄灯台报春,分布区域,高山潮湿草地和林缘
檫木,产地,浙江、江苏、安徽、江西、福建、广东、广西、湖南、湖北、四川、贵州及云南等省区
屏东猪屎豆,产地,台湾
屏东猪屎豆,分布区域,新西兰
龙头兰,分布区域,江西、福建、广东、香港、海南、广西、贵州、四川西南部、云南西北部、中部至东南部
鹅毛玉凤花,分布区域,安徽、浙江、江西、福建、台湾、湖北、湖南、广东、广西、四川、贵州、云南、西藏
细鹅毛竹,产地,江苏、浙江
鹅绒藤属,分布区域,非洲东部、地中海地区及欧、亚大陆的热带、亚热带及温带地区
鹅绒藤属,分布区域,西南各省区
鹅绒藤,分布区域,辽宁、河北、河南、山东、山西、陕西、宁夏、甘肃、江苏、浙江等省区
鹅绒藤,分布区域,海拔500米以下的山坡向阳灌木丛中或路旁、河畔、田埂边
蕨麻,产地,黑龙江、吉林、辽宁、内蒙古、河北、山西、陕西、甘肃、宁夏、青海、新疆、四川、云南、西藏
鸡娃草,产地,西藏、四川（西北部）、甘肃（西南部至西部祁连山区）、青海和新疆（北部）
鹅掌草,分布区域,云南西北部（海拔3000米）、四川（1700米）、贵州（1100至1800米）、湖北西部、湖南、江西、浙江西北部、江苏南部、陕西南部（1100至1200米）、甘肃南部（达2600米）
鹅掌草,分布区域,在日本和苏联远东地区
鹅掌柴属,分布区域,西南部和东南部的热带和亚热带地区
痄腮树,分布区域,云南西南部和南部、广西西南部、广东西部和海南岛
痄腮树,分布区域,不丹、印度东北部、缅甸、泰国、柬埔寨、越南北部
鹅掌柴,分布区域,日本、越南和印度
白簕,分布区域,印度、越南和菲律宾
鹅掌楸,分布区域,陕西（镇巴）、安徽（歙县、休宁、舒城、岳西、潜山、霍山）、浙江（龙泉、遂昌、松阳）、江西（庐山）、福建（武夷山）、湖北（房县、巴东、建始、利川）、湖南（桑植、新宁）、广西（融水、临桂、龙胜、兴安、资源、灌阳、华江）、四川（万源、万县、秀山、南川、叙永、古蔺、锡连）、贵州（绥阳、息峰、黎平）、云南（彝良、大关、富宁、金平、麻栗坡）
鹅掌楸,分布区域,越南北部
鹅掌藤,产地,台湾、广西（防城）及广东（海南岛保亭、崖县、澄迈）
爪哇唐松草,分布区域,西藏南部和东南部、云南、四川、甘肃南部、湖北西部、贵州、江西、浙江西部、台湾、广东北部
爪哇唐松草,分布区域,在尼泊尔、锡金、印度、斯里兰卡、印度尼西亚（苏门答腊、爪哇）
美丽唐松草,分布区域,在不丹、锡金、尼泊尔
额尔古纳薹草,分布区域,黑龙江
额尔古纳薹草,分布区域,俄罗斯（东西伯利亚）、蒙古
额尔古纳早熟禾,产地,新疆（达板山口、关山、准噶尔）、内蒙古
额尔古纳早熟禾,分布区域,俄罗斯远东
额河木蓼,产地,新疆布尔津
额河杨,产地,我国新疆（额尔齐斯河及克朗河流域）
狭叶当归,产地,黑龙江、吉林和内蒙古
狭叶当归,分布区域,山坡、路旁、草地、林缘、水溪旁、阔叶林下和石砾质河滩上
狭叶当归,分布区域,朝鲜、苏联西伯利亚东部
额穆尔堇菜,产地,黑龙江东北部及吉林东部地区
额穆尔堇菜,分布区域,苏联远东地区
恶味苘麻,产地,云南东南部金平县
恶味苘麻,分布区域,越南、印度、印度尼西亚和阿拉伯及非洲热带等地区
鄂北荛花,产地,湖北、河南、甘肃、陕西、山西
鄂报春,分布区域,云南、四川、贵州、湖北（西部）、湖南、广西、广东（北部）和江西（宜丰）
鄂报春,分布区域,林下、水沟边和湿润岩石上
粉椴,分布区域,甘肃、陕西、四川、湖北、湖南、江西、浙江
鄂赤瓟,产地,甘肃南部、陕西南部、湖北西北部、四川东部和南部、贵州
鄂红丝线,产地,湖北、四川、贵州
鄂红丝线,分布区域,路边或林下
鄂西苍术,产地,湖北西部（秭归）
黑沙蒿,分布区域,海拔1500米以下的荒漠与半荒漠地区的流动与半流动沙丘或固定沙丘上
宽叶粗榧,分布区域,四川东部（南川、巫溪、奉节）、湖北西部（恩施、合丰）、贵州东南部（凯里、雷公山）、广西东北部（光安）、广东北部（乳源）及福建北部（崇安）等地
