HudongItem1,relation,HudongItem2
柱穗薹草,parent taxon,薹草属
爪哇黑莎草,parent taxon,黑莎草属
白山薹草,parent taxon,薹草属
白线薯,parent taxon,千金藤属
斑膜芹,parent taxon,斑膜芹属
苞舌兰,parent taxon,苞舌兰属
宝兴棱子芹,parent taxon,棱子芹属
宝铎草,parent taxon,万寿竹属
宝华山薹草,parent taxon,薹草属
宝兴淫羊藿,parent taxon,三枝九叶草
抱草,parent taxon,臭草属
抱茎石龙尾,parent taxon,石龙尾属
抱茎叶无柱兰,parent taxon,无柱兰属
豹斑石豆兰,parent taxon,石豆兰属
杯苋,parent taxon,杯苋属
杯鳞薹草,parent taxon,薹草属
北柴胡,parent taxon,柴胡属
北方沙参,parent taxon,沙参属
北江十大功劳,parent taxon,十大功劳属
北疆薹草,parent taxon,薹草属
北京前胡,parent taxon,前胡属
壮健马先蒿,parent taxon,马先蒿属
锥茎石豆兰,parent taxon,石豆兰属
准噶尔毛蕊花,parent taxon,毛蕊花属
准噶尔前胡,parent taxon,前胡属
紫瓣茴芹,parent taxon,茴芹属
紫背鹿衔草,parent taxon,水竹叶属
准噶尔薹草,parent taxon,薹草属
卓越马先蒿,parent taxon,马先蒿属
孜然芹,parent taxon,孜然芹属
紫萼蝴蝶草,parent taxon,蝴蝶草属
紫芳草,parent taxon,藻百年属
北玄参,parent taxon,玄参属
北鱼黄草,parent taxon,鱼黄草属
紫花党参,parent taxon,党参属
紫花柳穿鱼,parent taxon,柳穿鱼属
北兴安薹草,parent taxon,薹草属
紫花裸茎绒果芹,parent taxon,裸茎绒果芹
紫花鸭跖柴胡,parent taxon,柴胡属
紫茎前胡,parent taxon,前胡属
紫距淫羊藿,parent taxon,三枝九叶草
紫鳞薹草,parent taxon,薹草属
紫脉滇芎,parent taxon,滇芎属
紫色棱子芹,parent taxon,棱子芹属
旱田草,parent taxon,母草属
鼻喙马先蒿,parent taxon,马先蒿属
笔草,parent taxon,假金发草属
蒿叶马先蒿,parent taxon,马先蒿属
紫纹山姜,parent taxon,山姜属
扁囊薹草,parent taxon,薹草属
禾叶嵩草,parent taxon,嵩草属
扁穗草,parent taxon,扁穗草属
变豆菜,parent taxon,变豆菜属
变色马先蒿,parent taxon,马先蒿属
滨蛇床,parent taxon,蛇床属
鸭首马先蒿,parent taxon,马先蒿属
波斯嵩草,parent taxon,嵩草属
亚东嵩草,parent taxon,嵩草属
亚美薹草,parent taxon,薹草属
雅江棱子芹,parent taxon,棱子芹属
亚澳薹草,parent taxon,薹草属
亚东丝瓣芹,parent taxon,丝瓣芹属
亚中兔耳草,parent taxon,兔耳草属
亚洲岩风,parent taxon,岩风属
烟台飘拂草,parent taxon,飘拂草属
薄片变豆菜,parent taxon,变豆菜属
岩白翠,parent taxon,通泉草属
薄叶囊瓣芹,parent taxon,囊瓣芹属
波密卷瓣兰,parent taxon,石豆兰属
醉马草,parent taxon,直芒草属
柞薹草,parent taxon,柄状苔草
波棱滇芎,parent taxon,滇芎属
波缘鸭跖草,parent taxon,鸭跖草属
伯氏马先蒿,parent taxon,马先蒿属
兵豆,parent taxon,兵豆属
丫蕊薹草,parent taxon,薹草属
不等裂马先蒿,parent taxon,马先蒿属
羊须草,parent taxon,薹草属
羊齿叶马先蒿,parent taxon,马先蒿属
苍山马先蒿,parent taxon,马先蒿属
藏西嵩草,parent taxon,嵩草属
蔡氏马先蒿,parent taxon,马先蒿属
藏玄参,parent taxon,藏玄参属
藏异燕麦,parent taxon,异燕麦属
仰卧早熟禾,parent taxon,早熟禾属
岩匙,parent taxon,岩匙属
薄叶荠苨,parent taxon,沙参属
岩风,parent taxon,岩风属
岩上珠,parent taxon,岩上珠属
岩生棱子芹,parent taxon,棱子芹属
岩生野古草,parent taxon,野古草属
沿阶草,parent taxon,沿阶草属
不丹嵩草,parent taxon,嵩草属
眼斑贝母兰,parent taxon,贝母兰属
木里滇芎,parent taxon,滇芎属
台湾卷瓣兰,parent taxon,石豆兰属
羊齿囊瓣芹,parent taxon,囊瓣芹属
糙独活,parent taxon,独活属
瑶山母草,parent taxon,母草属
野甘草,parent taxon,野甘草属
野青茅,parent taxon,异颖草属
野地钟萼草,parent taxon,钟萼草属
草甸藁本,parent taxon,藁本属
叉枝牛角兰,parent taxon,牛角兰属
草原顶冰花,parent taxon,顶冰花属
察郎马先蒿,parent taxon,马先蒿属
腋花马先蒿,parent taxon,马先蒿属
孱弱马先蒿,parent taxon,马先蒿属
昌宁薹草,parent taxon,扭喙苔草
长苞谷精草,parent taxon,谷精草属
长臂卷瓣兰,parent taxon,石豆兰属
长柄贝母兰,parent taxon,贝母兰属
长柄杜若,parent taxon,杜若属
长柄小芹,parent taxon,小芹属
一柱齿唇兰,parent taxon,开唇兰属
宜昌飘拂草,parent taxon,飘拂草属
宜昌薹草,parent taxon,薹草属
宜章十大功劳,parent taxon,十大功劳属
苇状看麦娘,parent taxon,看麦娘属
长梗玄参,parent taxon,玄参属
长梗马先蒿,parent taxon,马先蒿属
长花枝杜若,parent taxon,杜若属
长喙马先蒿,parent taxon,马先蒿属
异型兰,parent taxon,异唇兰属
长果牧根草,parent taxon,牧根草属
长根马先蒿,parent taxon,马先蒿属
异叶茴芹,parent taxon,茴芹属
异叶前胡,parent taxon,前胡属
异叶石龙尾,parent taxon,石龙尾属
异叶眼子菜,parent taxon,眼子菜属
窃衣,parent taxon,窃衣属
长茎藁本,parent taxon,藁本属
银花苋,parent taxon,千日红属
长芒棒头草,parent taxon,棒头草属
长尖莎草,parent taxon,莎草属
长茎马先蒿,parent taxon,马先蒿属
银穗草,parent taxon,银穗草属
长距柳穿鱼,parent taxon,柳穿鱼属
长蔓通泉草,parent taxon,通泉草属
长芒锦香草,parent taxon,锦香草属
合丝肖菝葜,parent taxon,肖菝葜
银州柴胡,parent taxon,柴胡属
隐花马先蒿,parent taxon,马先蒿属
河南卷瓣兰,parent taxon,石豆兰属
隐穗柄薹草,parent taxon,薹草属
印度独活,parent taxon,独活属
银穗湖瓜草,parent taxon,湖瓜草属
长帽隔距兰,parent taxon,隔距兰属
长匍通泉草,parent taxon,通泉草属
河北葛缕子,parent taxon,葛缕子属
隐盘芹,parent taxon,隐盘芹属
长芒嵩草,parent taxon,嵩草属
长蕊淫羊藿,parent taxon,三枝九叶草
长舌马先蒿,parent taxon,马先蒿属
印尼珍珠茅,parent taxon,珍珠茅属
弹刀子菜,parent taxon,通泉草属
鹰嘴马先蒿,parent taxon,马先蒿属
印度型薹草,parent taxon,薹草属
柔弱斑种草,parent taxon,斑种草属
硬果薹草,parent taxon,薹草属
硬叶谷精草,parent taxon,谷精草属
永宁独活,parent taxon,独活属
油芒,parent taxon,油芒属
有柄柴胡,parent taxon,柴胡属
疣果飘拂草,parent taxon,飘拂草属
有梗石龙尾,parent taxon,石龙尾属
有芒鸭嘴草,parent taxon,鸭嘴草属
莠狗尾草,parent taxon,狗尾草属
羽苞藁本,parent taxon,藁本属
羽唇叉柱兰,parent taxon,叉柱兰属
羽毛三芒草,parent taxon,三芒草属
羽轴丝瓣芹,parent taxon,丝瓣芹属
玉龙藁本,parent taxon,藁本属
玉龙山谷精草,parent taxon,谷精草属
玉龙嵩草,parent taxon,嵩草属
鹬形马先蒿,parent taxon,马先蒿属
玉树嵩草,parent taxon,嵩草属
元宝草马先蒿,parent taxon,马先蒿属
元谋菅,parent taxon,菅属
河南马先蒿,parent taxon,马先蒿属
圆齿肉穗草,parent taxon,肉穗草属
元阳石豆兰,parent taxon,石豆兰属
圆齿囊瓣芹,parent taxon,洱源囊瓣芹
圆扇八宝,parent taxon,八宝属
圆穗兔耳草,parent taxon,兔耳草属
圆叶八宝,parent taxon,八宝属
圆果乳头基荸荠,parent taxon,乳头基荸荠
盒果藤,parent taxon,盒果藤属
贺兰山嵩草,parent taxon,嵩草属
圆茎翅茎草,parent taxon,翅茎草属
褐唇贝母兰,parent taxon,贝母兰属
圆穗薹草,parent taxon,薹草属
圆叶野海棠,parent taxon,野海棠属
圆锥丝瓣芹,parent taxon,丝瓣芹属
缘毛马先蒿,parent taxon,马先蒿属
褐鳞飘拂草,parent taxon,飘拂草属
褐穗莎草,parent taxon,莎草属
鹤果薹草,parent taxon,薹草属
缘毛薹草,parent taxon,薹草属
鹤庆独活,parent taxon,独活属
长腺小米草,parent taxon,小米草属
长小穗莎草,parent taxon,莎草属
远东芨芨草,parent taxon,直芒草属
鹤首马先蒿,parent taxon,马先蒿属
远志状马先蒿,parent taxon,马先蒿属
