entity,relation,value
长花铁线莲,治疗,口舌生疮
长花铁线莲,治疗,乳汁不通
长花铁线莲,治疗,肠炎痢疾
长花铁线莲,治疗,肾炎淋病
长裂乌头,治疗,发烧
长裂乌头,治疗,炭疽病
长毛香科科,治疗,痧症
长蕊石头花,治疗,蚜虫
长蕊石头花,治疗,红蜘蛛
长蕊石头花,治疗,地老虎
长序荆,治疗,眼病
猫乳,治疗,疥疮
长叶酸藤子,治疗,产后腹痛
长叶酸藤子,治疗,肾炎水肿
长叶酸藤子,治疗,肠炎腹泻
长叶酸藤子,治疗,跌打
长叶酸藤子,治疗,瘀痛
长叶苎麻,治疗,感冒
长叶苎麻,治疗,风湿关节炎
针筒菜,治疗,久痢
针筒菜,治疗,病久虚弱
针筒菜,治疗,外伤出血
朝鲜白头翁,治疗,阿米巴痢疾
朝鲜白头翁,治疗,疟疾
朝鲜白头翁,治疗,金疮
朝鲜白头翁,治疗,妇女闭经
豹皮樟,治疗,胃脘胀痛
朝鲜铁线莲,治疗,痔疮
还亮草,治疗,风湿骨痛
橙色鼠尾草,治疗,头晕
橙色鼠尾草,治疗,风湿痛
齿叶景天,治疗,跌打损伤
锈毛铁线莲,治疗,疮毒
锈毛铁线莲,治疗,角膜炎
锈毛铁线莲,治疗,四肢痛
赤豆,治疗,水肿脚气
赤豆,治疗,泻痢
赤豆,治疗,痈肿
天麻,治疗,头晕目眩
天麻,治疗,肢体麻木
天麻,治疗,小儿惊风
麻叶荨麻,治疗,风湿
麻叶荨麻,治疗,糖尿病
栓叶安息香,治疗,风湿关节痛
厚叶算盘子,治疗,跌打
厚叶算盘子,治疗,风湿
厚叶算盘子,治疗,脱肛
厚叶算盘子,治疗,子宫下垂
厚叶算盘子,治疗,白带
厚叶算盘子,治疗,泄泻
厚叶算盘子,治疗,肝炎
厚叶算盘子,治疗,牙痛
短瓣花,治疗,风湿
短瓣花,治疗,跌打损伤
马缨丹,治疗,疟疾
马缨丹,治疗,肺结核
马缨丹,治疗,颈淋巴结核
马缨丹,治疗,腮腺炎
马缨丹,治疗,胃痛
马缨丹,治疗,风湿骨痛
臭棘豆,治疗,皮炎
臭棘豆,治疗,便秘
臭节草,治疗,风寒感冒
臭节草,治疗,咽喉炎
臭节草,治疗,腮腺炎
臭节草,治疗,支气管炎
臭节草,治疗,皮下瘀血
臭牡丹,治疗,子宫脱垂
梓,治疗,肝硬化
梓,治疗,腹水
梓,治疗,疥疮
棕叶狗尾草,治疗,脱肛
棕叶狗尾草,治疗,子宫脱垂
楮头红,治疗,耳鸣
楮头红,治疗,祛肝火
川滇变豆菜,治疗,风湿关节疼痛
川滇变豆菜,治疗,跌打损伤
川滇变豆菜,治疗,肺结核
川滇变豆菜,治疗,肾虚腰疼
川滇变豆菜,治疗,头昏
小木通,治疗,尿路感染
小木通,治疗,小便不利
小木通,治疗,肾炎水肿
小木通,治疗,闭经
小木通,治疗,乳汁不通
小木通,治疗,风湿
小木通,治疗,月经不调
小木通,治疗,胃痛
小木通,治疗,小儿麻痹后遗症
小木通,治疗,腰腿痛
小木通,治疗,桥虫
小木通,治疗,菜青虫
小木通,治疗,地老虎
小木通,治疗,瓢虫
紫金龙,治疗,各种疼痛
紫金龙,治疗,高血压
紫金龙,治疗,血崩
紫金龙,治疗,内伤出血
紫金龙,治疗,跌打损伤
川西小黄菊,治疗,跌打损伤
川芎,治疗,头痛旋晕
川芎,治疗,肋痛腹疼
川芎,治疗,经闭
川芎,治疗,难产
川芎,治疗,痈疽疮疡
穿龙薯蓣,治疗,腰腿疼痛
穿龙薯蓣,治疗,筋骨麻木
穿龙薯蓣,治疗,跌打损伤
穿龙薯蓣,治疗,咳嗽喘息
异形南五味子,治疗,风湿骨痛
异形南五味子,治疗,跌打损伤
毛柱铁线莲,治疗,风寒感冒
毛柱铁线莲,治疗,胃痛
毛柱铁线莲,治疗,闭经
毛柱铁线莲,治疗,跌打瘀肿
毛柱铁线莲,治疗,风湿麻木
毛柱铁线莲,治疗,腰痛
垂序商陆,治疗,水肿
垂序商陆,治疗,白带
垂序商陆,治疗,风湿
垂序商陆,治疗,脚气
垂序商陆,治疗,无名肿毒
垂序商陆,治疗,皮肤寄生虫病
椿叶花椒,治疗,风湿骨痛
椿叶花椒,治疗,跌打肿痛
椿叶花椒,治疗,中暑
椿叶花椒,治疗,感冒
刺齿唇柱苣苔,治疗,风湿骨痛
大叶臭花椒,治疗,多类痛症
雀梅藤,治疗,疮疡肿毒
雀梅藤,治疗,咳嗽
刺瓜,治疗,神经衰弱
刺瓜,治疗,慢性肾炎
刺瓜,治疗,睾丸炎
刺瓜,治疗,肺结核
刺瓜,治疗,肝炎
刺黑珠,治疗,痢疾
刺黑珠,治疗,腹泻
刺黑珠,治疗,红肿
红花,治疗,妇女病
刺黄花,治疗,眼病
缫丝花,治疗,痢疾
刺藜,治疗,荨麻疹
刺藜,治疗,皮肤瘙痒
刺蒴麻,治疗,毒疮
刺蒴麻,治疗,肾结石
短梗南蛇藤,治疗,蛇咬伤
短梗南蛇藤,治疗,肿毒
丛花山矾,治疗,癣疥
粗梗水蕨,治疗,胎毒
粗毛淫羊藿,治疗,阳痿
粗毛淫羊藿,治疗,小便失禁
粗毛淫羊藿,治疗,风湿痛
催吐萝芙木,治疗,发高烧
催吐萝芙木,治疗,消化不良
催吐萝芙木,治疗,疥癣
催吐萝芙木,治疗,腹痛
寸金草,治疗,牙痛
寸金草,治疗,小儿疳积
寸金草,治疗,风湿跌打
寸金草,治疗,煎水
七层楼,治疗,小儿惊风
七层楼,治疗,白喉
七层楼,治疗,跌打损伤
七层楼,治疗,关节肿痛
七层楼,治疗,蛇咬伤
石香薷,治疗,中暑发热
石香薷,治疗,感冒恶寒
石香薷,治疗,胃痛呕吐
石香薷,治疗,急性肠胃炎
石香薷,治疗,痢疾
石香薷,治疗,跌打瘀痛
石香薷,治疗,下肢水肿
石香薷,治疗,颜面浮肿
石香薷,治疗,消化不良
石香薷,治疗,多发性疖肿
毛果算盘子,治疗,漆树过敏
毛果算盘子,治疗,剥脱性皮炎
毛果算盘子,治疗,19麻疹
毛果算盘子,治疗,肠炎
毛果算盘子,治疗,痢疾
毛果算盘子,治疗,脱肛
毛果算盘子,治疗,牙痛
毛果算盘子,治疗,咽喉炎
毛果算盘子,治疗,乳腺炎
毛果算盘子,治疗,白带
毛果算盘子,治疗,月经过多
毛果算盘子,治疗,皮肤湿疹
毛果算盘子,治疗,稻田性皮炎
漆姑虎耳草,治疗,肝炎
漆姑虎耳草,治疗,胆囊炎
奇蒿,治疗,妇疾患
铁海棠,治疗,瘀痛
铁海棠,治疗,骨折
铁海棠,治疗,恶疮
麒麟叶,治疗,跌打损伤
麒麟叶,治疗,风湿关节
麒麟叶,治疗,痈肿疮毒
千根草,治疗,菌痢
千根草,治疗,肠炎
千根草,治疗,腹泻
香叶树,治疗,跌打损伤
香叶树,治疗,牛马癣疥
天葵,治疗,疮疖肿
天葵,治疗,乳腺炎
天葵,治疗,扁桃体炎
天葵,治疗,淋巴结核
天葵,治疗,跌打损伤
天葵,治疗,蚜虫
天葵,治疗,红蜘蛛
天葵,治疗,稻螟
千屈菜,治疗,肠炎
千屈菜,治疗,痢疾
千屈菜,治疗,便血
小蜡,治疗,吐血
小蜡,治疗,牙痛
小蜡,治疗,口疮
小蜡,治疗,咽喉痛
香港大沙叶,治疗,感冒发热
香港大沙叶,治疗,中暑
香港大沙叶,治疗,肝炎
香港大沙叶,治疗,跌打刀伤
羌活属,治疗,风寒感冒
羌活属,治疗,风湿性关节疼痛
荞麦,治疗,高血压
荞麦,治疗,视网膜出血
荞麦,治疗,肺出血
花葶乌头,治疗,劳伤
花葶乌头,治疗,刀伤
聚叶花葶乌头,治疗,跌打损伤
聚叶花葶乌头,治疗,月经不调
芹叶铁线莲,治疗,胃包囊虫
芹叶铁线莲,治疗,肝包囊虫
当归,治疗,月经不调
当归,治疗,崩漏
当归,治疗,眩晕
当归,治疗,痈疽疮疡
当归,治疗,跌打损伤
青海茄参,治疗,肺脓肿
清风藤,治疗,风湿
清风藤,治疗,鹤膝
清风藤,治疗,麻痹
密花素馨,治疗,皮肤瘙痒
秋枫,治疗,无名肿毒
秋枫,治疗,风湿骨痛
秋枫,治疗,痢疾
